Title,Type,Num Bids,Current Bid,Buy Price,End Date,Link
Palit GeForce RTX 2080 Ti Dual - 11GB,hybrid,2,509.0,699.0,2020-11-22 19:29:00,https://www.ricardo.ch/de/a/palit-geforce-rtx-2080-ti-dual-11gb-1145310930/
RADEON RX 550 GDDR5 4GB ASUS- HDMI,auction,13,51.0,,2020-11-18 19:38:26.149855,https://www.ricardo.ch/de/a/radeon-rx-550-gddr5-4gb-asus-hdmi-1144056020/
MSI GeForce GTX 970 Gaming 4G (GM204),auction,18,82.0,,2020-11-18 20:09:26.183729,https://www.ricardo.ch/de/a/msi-geforce-gtx-970-gaming-4g-(gm204)-1144397106/
Grafikkarte A9200SE 128 MB 64-bit DDR,auction,0,5.0,,2020-11-18 20:15:26.204672,https://www.ricardo.ch/de/a/grafikkarte-a9200se-128-mb-64-bit-ddr-1142538074/
GPU CAD NVIDIA Quadro K4000 - 3 Gb DDR5,direct,,,99.0,2020-11-19 18:30:00,https://www.ricardo.ch/de/a/gpu-cad-nvidia-quadro-k4000-3-gb-ddr5-1136903646/
Asus GTX 1070 O8G,auction,15,220.0,,2020-11-18 20:04:26.265516,https://www.ricardo.ch/de/a/asus-gtx-1070-o8g-1144715284/
NVIDIA QUADRO K1200 profess. Grafikkarte,hybrid,6,18.0,100.0,2020-11-21 20:00:00,https://www.ricardo.ch/de/a/nvidia-quadro-k1200-profess.-grafikkarte-1144873446/
NVidia Geforce Titan Black 6 GB,auction,21,47.0,,2020-11-22 21:40:00,https://www.ricardo.ch/de/a/nvidia-geforce-titan-black-6-gb-1144706454/
ASUS ROG Strix GTX 1060 OVP,auction,46,132.0,,2020-11-18 21:05:00,https://www.ricardo.ch/de/a/asus-rog-strix-gtx-1060-ovp-1144527106/
Asus GeForce Dual GTX 1060 3GB(OVP),auction,7,46.0,,2020-11-22 20:15:00,https://www.ricardo.ch/de/a/asus-geforce-dual-gtx-1060-3gb(ovp)-1145109000/
AMD FirePro W8100,hybrid,8,43.0,80.0,2020-11-22 18:32:00,https://www.ricardo.ch/de/a/amd-firepro-w8100-1145116314/
Grafikkarte Gigabyte GeForce GT 730 2GB,auction,5,21.0,,2020-11-24 18:29:00,https://www.ricardo.ch/de/a/grafikkarte-gigabyte-geforce-gt-730-2gb-1145034612/
Palit GeForce GTX 1050 Ti StormX,hybrid,24,38.0,80.0,2020-11-22 18:32:00,https://www.ricardo.ch/de/a/palit-geforce-gtx-1050-ti-stormx-1145116290/
Asus ROG Strix GTX 1070ti,auction,31,177.0,,2020-11-21 11:03:00,https://www.ricardo.ch/de/a/asus-rog-strix-gtx-1070ti-1144909014/
Nvidia Geforce GTX 970 MSI Gaming 4G,auction,23,43.0,,2020-11-20 17:31:00,https://www.ricardo.ch/de/a/nvidia-geforce-gtx-970-msi-gaming-4g-1144811816/
Starker Gaming PC Gtx 1060,auction,47,83.0,,2020-11-21 20:00:00,https://www.ricardo.ch/de/a/starker-gaming-pc-gtx-1060-1144538460/
